,artist_name,track_name,track_id,album_name,album_id,release_date,popularity,explicit,danceability,duration_ms,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,featured_artists
10,"Tyler, The Creator",A BOY IS A GUN*,1nXZnTALNXiPlvXotqHm66,IGOR,5zi7WsKlIiUXv09tbGLKsE,2019-05-17,69,True,0.417,210253,0.689,2,-8.302,0,0.178,0.575,0.0,0.496,0.505,79.568,4,[]
11,"Tyler, The Creator",Tamale,60b6B2ULC85t4Y5IjZvP7A,Wolf,40QTqOBBxCEIQlLNdSjFQB,2013-04-01,60,True,0.742,166347,0.93,11,-7.207,1,0.0977,0.0557,0.000242,0.272,0.967,129.986,4,[]
12,"Tyler, The Creator",RUNNING OUT OF TIME,5QvBXUm5MglLJ3iBfTX2Wo,IGOR,5zi7WsKlIiUXv09tbGLKsE,2019-05-17,72,True,0.36,177227,0.391,6,-10.6,1,0.0528,0.296,0.000406,0.129,0.162,84.281,4,[]
14,"Tyler, The Creator",PUPPET,0wEC0GNF74lAqrEFZJMl1m,IGOR,5zi7WsKlIiUXv09tbGLKsE,2019-05-17,68,True,0.508,179013,0.557,8,-8.967,0,0.0478,0.00235,0.0134,0.588,0.199,77.572,4,[]
15,"Tyler, The Creator",IFHY (feat. Pharrell),0NjW4SKY3gbfl2orl1p8hr,Wolf,40QTqOBBxCEIQlLNdSjFQB,2013-04-01,69,True,0.358,319253,0.715,7,-6.181,1,0.331,0.197,0.0,0.581,0.275,85.478,4,['Pharrell Williams']
16,"Tyler, The Creator",DOGTOOTH,6OfOzTitafSnsaunQLuNFw,CALL ME IF YOU GET LOST: The Estate Sale,1GG6U2SSJPHO6XsFiBzxYv,2023-03-31,69,True,0.706,161041,0.648,8,-6.348,1,0.324,0.505,0.0,0.215,0.802,77.533,4,[]
17,"Tyler, The Creator",911 / Mr. Lonely (feat. Frank Ocean & Steve Lacy),4bEcoz1OcfMgUbp2ft8ieQ,Flower Boy,2nkto6YNI4rUYTLqEwWJ3o,2017-07-21,71,True,0.48,255653,0.61,0,-7.042,1,0.305,0.0456,0.0,0.313,0.297,90.034,4,"['Frank Ocean', 'Steve Lacy']"
18,"Tyler, The Creator","FUCKING YOUNG / PERFECT (feat. Charlie Wilson, Chaz Bundick, Sydney Bennett & Kali Uchis)",46CA1H0T1r7u5lDUtVveAh,Cherry Bomb,621OhgnZJ7Pz8iUazct1In,2015-04-13,62,True,0.232,401573,0.705,5,-6.928,1,0.0997,0.032,6.6e-05,0.185,0.352,74.28,4,"['Charlie Wilson', 'Chaz Bundick', 'Syd', 'Kali Uchis']"
19,"Tyler, The Creator",IGOR'S THEME,51RN0kzWd7xeR4th5HsEtW,IGOR,5zi7WsKlIiUXv09tbGLKsE,2019-05-17,66,False,0.467,200693,0.672,10,-7.371,0,0.377,0.00559,0.243,0.607,0.0648,163.1,4,[]
20,"Tyler, The Creator","BOYFRIEND, GIRLFRIEND (2020 Demo) (feat. YG)",2sFEmuVVAa2klHwhFaT0rR,CALL ME IF YOU GET LOST: The Estate Sale,1GG6U2SSJPHO6XsFiBzxYv,2023-03-31,58,True,0.778,204365,0.847,6,-3.422,0,0.0605,0.421,0.000363,0.35,0.658,109.226,4,['YG']
