artist_name,track_name,track_id,album_name,album_id,release_date,popularity,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,featured_artists,type,duration,year,month,day_of_the_week
Vybz Kartel,Personally - Remix,1TA08i092XeXrHdj6WUQLz,Personally (Remix),1O5Ca62Kp5zlkAz6QB4zN2,2017-03-10,20.0,True,0.679,0.723,F#/Gb,-10.129,Major,0.138,0.685,0.0,0.297,0.901,96.027,4.0,Burna Boy,Feature,03:14,2017,March,Friday
Burna Boy,Ph - Lagos - London - Paris,4zcZElotzQEkKLADdQ738F,"Best of Burn Series, Vol. 1",5lrPUSLO9MKGPi9SgaGNzw,2011-04-28,12.0,False,0.559,0.663,G,-6.2,Minor,0.185,0.132,0.0,0.0992,0.459,136.292,5.0,P.R.E.,Compilation,03:27,2011,April,Thursday
J Hus,Play Play (feat. Burna Boy),3R60ekRcGXuaoZmnbdlf3n,Big Conspiracy,3ORNNahv0Z1IU0AKoliZwn,2020-01-24,57.0,True,0.763,0.704,C,-4.818,Major,0.308,0.275,0.0,0.108,0.735,90.005,4.0,Burna Boy,Feature,03:25,2020,January,Friday
Burna Boy,Plenty Song,6BjTEPvVTZR6KG9Eyb9jBW,Redemption,038SZr5DtjpCRspMtzi6FY,2016-09-23,22.0,False,0.75,0.506,D,-9.165,Major,0.37,0.107,1.15e-05,0.109,0.396,92.547,4.0,,EP,02:44,2016,September,Friday
Burna Boy,Pree Me,77DZ4y4iWmGuNkZSAWbqgK,Best of Burna Boy,1FjaEQoMFoN5PtDsLcCcO7,2017-07-04,19.0,True,0.819,0.5,G#/Ab,-13.547,Minor,0.0812,0.252,0.0197,0.136,0.463,102.051,4.0,,Compilation,03:15,2017,July,Tuesday
Timaya,Pull Up,3qF8DcoQpQ1IXlMbTKHylP,Chulo Vibes,1JlzIGbFMWsyL5WBEADj6Q,2019-02-08,44.0,False,0.847,0.7,F#/Gb,-5.571,Major,0.0532,0.678,0.000129,0.0975,0.88,99.956,4.0,Burna Boy,Feature,03:16,2019,February,Friday
Burna Boy,Question (feat. Don Jazzy),163l4xzEe3JAfPbv0kYNQo,Question (feat. Don Jazzy),0QOalrk1Kbdbt6p38FgBdA,2021-08-24,41.0,False,0.847,0.527,E,-9.359,Major,0.0465,0.0854,0.000303,0.153,0.746,104.052,4.0,Don Jazzy,Single,02:48,2021,August,Tuesday
Busta Rhymes,ROBOSHOTTA (feat. Burna Boy),7DiylLh1Kdcd1q1dWRcJNq,BLOCKBUSTA,4XN6Kx1iUxtuhuAfh0zqZN,2023-11-24,36.0,True,0.787,0.759,B,-3.67,Major,0.504,0.275,0.0,0.641,0.961,95.839,4.0,Burna Boy,Feature,02:05,2023,November,Friday
Chip,Reaching,1RAf6COm05q20KM8WFSgvw,Reaching,6S9CuM9MES56lqsihWXmGp,2016-03-05,0.0,True,0.705,0.757,G,-7.083,Major,0.0789,0.104,0.0,0.0653,0.403,108.044,4.0,Burna Boy,Feature,03:37,2016,March,Saturday
Burna Boy,Ring Ring,6QmjfGeiky2j95ckhRqBFP,On a Spaceship,4tjD2jPZdPe3nqop8En6zb,2015-11-25,20.0,False,0.625,0.91,B,-4.578,Minor,0.0518,0.283,0.00293,0.0942,0.964,102.323,4.0,,Album,03:30,2015,November,Wednesday
Burna Boy,Rock Your Body,4LbEUmACVAFj8e0WrMUdlN,Outside,26du6obYLeY1vf6xIJ1l0D,2018-01-26,40.0,False,0.801,0.623,C,-7.861,Major,0.0982,0.107,0.00396,0.0853,0.801,104.985,4.0,,Album,03:41,2018,January,Friday
Burna Boy,Rockstar,4cMySyZzpTfLairRags48n,Best of Burna Boy,1FjaEQoMFoN5PtDsLcCcO7,2017-07-04,18.0,True,0.61,0.468,C,-9.905,Major,0.0964,0.239,0.0,0.111,0.912,182.155,4.0,,Compilation,03:56,2017,July,Tuesday
Burna Boy,Rollercoaster (feat. J Balvin),1RS3HF2sYSkSmzqFsDONhj,"Love, Damini",53s3xfNBbh5Z0Xv9IXjvi4,2022-07-06,46.0,False,0.774,0.687,A,-9.994,Major,0.0744,0.116,0.0012,0.129,0.791,98.994,4.0,J Balvin,Album,03:07,2022,July,Wednesday
MIST,Rollin' (feat. Burna Boy),5UZRiz52aaoW64Sp88qVQc,Rollin' (feat. Burna Boy),2bgY8geITSqxDXCANBdrg9,2021-06-24,43.0,True,0.722,0.844,D#/Eb,-2.258,Minor,0.091,0.0852,8.23e-05,0.122,0.746,109.938,4.0,Burna Boy,Feature,02:39,2021,June,Thursday
Becky G,Rotate,6wwT3PgG3eFuKCpxzjMJFs,Rotate,5FlP8dwJCTGLFk38tHDEiX,2021-02-22,43.0,False,0.91,0.856,B,-2.082,Minor,0.157,0.0346,0.000223,0.0624,0.771,109.029,4.0,Burna Boy,Feature,03:21,2021,February,Monday
Reminisce,Rude Gyal,6hRvbdVSgBo5HIMMFD7B6O,Alaga Ibile,5OYB18HJ63VskQrH7U4952,2013-11-07,6.0,True,0.64,0.737,A#/Bb,-3.066,Minor,0.085,0.403,0.0,0.0535,0.659,112.099,5.0,Burna Boy,Feature,03:34,2013,November,Thursday
Burna Boy,Run My Race,61BwxXFDtEu4Uq8iXxaYdG,Best of Burna Boy,1FjaEQoMFoN5PtDsLcCcO7,2017-07-04,21.0,True,0.748,0.963,B,-2.485,Minor,0.0863,0.0153,5.11e-05,0.0768,0.678,100.014,4.0,,Compilation,04:12,2017,July,Tuesday
Burna Boy,Say So,2ympTJan7fHe3brZ2ZUXEo,L.I.F.E - Leaving an Impact for Eternity (Deluxe Edition),5t1QPMQ3ssvP9gLLRPIckA,2013-08-12,23.0,False,0.565,0.903,G,-4.835,Minor,0.142,0.0435,0.0,0.0666,0.86,106.172,4.0,,Album,04:36,2013,August,Monday
