,artist_name,track_name,track_id,album_name,album_id,release_date,popularity,explicit,danceability,duration_ms,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,featured_artists
88,Young Thug,Light It Up,2G1O1E91aRpIX5r6ngW51V,So Much Fun (Deluxe),24jAbLMFzCTlIv3kQ94HwK,2019-12-20,41,True,0.953,209253,0.515,10,-8.546,1,0.0846,0.00389,0.0,0.11,0.351,138.039,4,[]
89,Young Thug,Hate The Game,7xfueRdAGnr8pKEIhkGcc8,Punk,7IKkHmEk4It4cRdOYanyvW,2021-10-15,48,True,0.823,164051,0.442,11,-11.129,1,0.303,0.0655,2.25e-05,0.0966,0.546,157.929,4,[]
90,Young Thug,Can't Tell (feat. T.I. and Boosie BadAzz),4QfVMnOYuE5Ah7E4g1p6Bx,Barter 6,0BsMZIueWsJLWng8A7sE8e,2015-04-16,45,True,0.93,368213,0.486,1,-6.361,1,0.367,0.0303,0.0,0.0716,0.334,111.062,4,"['T.I.', 'Boosie Badazz']"
91,Young Thug,Ecstasy (feat. Machine Gun Kelly),1yBbxDXEfr8boXM1ubvBHi,So Much Fun,1bnHPO4dKK7IjvgrtVBcQh,2019-08-16,46,True,0.826,178240,0.691,1,-6.557,1,0.129,0.000541,0.0,0.157,0.603,162.966,4,['mgk']
92,Young Thug,Sake Of My Kids,54nCzj6TQ2tukxToVUJJp5,BUSINESS IS BUSINESS (Metro's Version),0z2a9VgdVmkr0DInVJUgu6,2023-06-26,39,True,0.943,238400,0.406,1,-6.993,0,0.0768,0.025,0.0,0.251,0.166,124.998,4,[]
93,Young Thug,Up (feat. Lil Uzi Vert),7HvtrRyRYqSOhllmbIW1Kh,Hear No Evil,3tocsl73xCimRlSDuzFdG5,2018-04-13,39,True,0.852,296413,0.617,1,-7.515,0,0.12,0.00154,6.48e-05,0.36,0.3,129.974,4,['Lil Uzi Vert']
94,Young Thug,You The One,0CUfi8Wr6BjnqaHZq2ttD1,Slime Season 4,5Dwws0oO0fQLDsrwZE7rvW,2017-12-04,34,True,0.719,198027,0.717,1,-6.239,0,0.104,0.0386,0.0,0.25,0.357,139.887,4,[]
96,Young Thug,Stressed (with J. Cole & T-Shyne),0uqsdBw9KvD8jSWmfMmMAp,Punk,7IKkHmEk4It4cRdOYanyvW,2021-10-15,46,True,0.707,220413,0.442,0,-10.395,0,0.339,0.0698,0.0,0.106,0.344,81.021,4,"['J. Cole', 'T-Shyne']"
97,Young Thug,Gucci Grocery Bag,02vvwHxBoZtnNDQFFE64NQ,BUSINESS IS BUSINESS,6qElaeK7SHsEzb8uV8eG3D,2023-06-23,42,True,0.908,175133,0.487,1,-6.591,1,0.158,0.00377,0.000165,0.0703,0.719,145.056,4,[]
98,Young Thug,Cartier Gucci Scarf (feat. Lil Duke),3J7mXGLaO87MFu42WAb66h,So Much Fun (Deluxe),24jAbLMFzCTlIv3kQ94HwK,2019-12-20,35,True,0.935,198173,0.505,1,-7.155,0,0.0931,0.0508,0.0,0.0841,0.183,128.044,4,['Lil Duke']
99,Young Thug,Mannequin Challenge (feat. Juice WRLD),4xzSmycmoheCQGJLvYtDFU,So Much Fun (Deluxe),24jAbLMFzCTlIv3kQ94HwK,2019-12-20,42,True,0.857,162400,0.583,1,-7.466,0,0.086,0.0899,0.0,0.204,0.443,132.01,4,['Juice WRLD']
100,Young Thug,Mad Dog,332TO0w5iJ8h4h55Qq5a0R,BUSINESS IS BUSINESS (Metro's Version),0z2a9VgdVmkr0DInVJUgu6,2023-06-26,38,True,0.648,229000,0.5,6,-6.263,0,0.198,0.0242,0.0,0.167,0.362,159.857,4,[]
102,Young Thug,Special (feat. Offset and Solo Lucci),1DAl49mec3YC7a3Yc86Gz2,I'm Up,4sAB9WulPpnAcig7alDGTg,2016-02-05,39,True,0.91,263592,0.499,8,-5.985,1,0.157,0.0813,0.0,0.0988,0.316,140.012,4,"['Offset', 'Solo Lucci']"
103,Young Thug,Bubbly (with Drake & Travis Scott),3WU6TZLUeQOZS9Cjih3po5,Punk,4tYDU5yrBpOxg2hUuBOgBo,2021-10-14,32,False,0.905,165213,0.575,11,-7.738,0,0.281,0.0487,0.0,0.128,0.535,129.03,4,"['Drake', 'Travis Scott']"
104,Young Thug,I Bought Her (feat. Lil Duke),0yFy24V9CJhRa1z9obC7Ly,So Much Fun (Deluxe),24jAbLMFzCTlIv3kQ94HwK,2019-12-20,35,True,0.913,201747,0.57,7,-7.886,1,0.248,0.000462,0.0,0.063,0.607,136.079,4,['Lil Duke']
106,Young Thug,Boy Back (feat. NAV),369g3Kv6MXsl0wn7PNtWvO,So Much Fun,1bnHPO4dKK7IjvgrtVBcQh,2019-08-16,42,True,0.777,202600,0.573,9,-8.848,0,0.191,0.0415,0.0,0.365,0.387,143.017,4,['NAV']
108,Young Thug,Jumped Out the Window,1t3RWEeRtnHCIpx8HYWqzS,So Much Fun (Deluxe),24jAbLMFzCTlIv3kQ94HwK,2019-12-20,38,True,0.928,204027,0.515,1,-8.306,1,0.0859,0.00081,0.0,0.235,0.387,138.049,4,[]
109,Young Thug,Hot (feat. Gunna),0SfyLjgqVjf7HlEqMdK1y4,So Much Fun (Deluxe),24jAbLMFzCTlIv3kQ94HwK,2019-12-20,37,True,0.855,193027,0.651,0,-8.044,0,0.235,0.063,0.0,0.0772,0.559,111.997,4,['Gunna']
110,Young Thug,Keep It Goin,3ziMX7GlxzDG0YOV9Zdtsp,Rich Homie Cartel Vol 1,65LaTW7Q12QKrF9xcMFN8M,2014-12-09,30,True,0.67,263053,0.615,9,-9.431,0,0.281,0.112,5.01e-06,0.0975,0.403,101.807,1,[]
111,Young Thug,Global Access (feat. Nate Ruess),79AzC6p5uKHZC4Rb7xrpR1,BUSINESS IS BUSINESS,6qElaeK7SHsEzb8uV8eG3D,2023-06-23,41,True,0.561,148533,0.682,2,-8.765,1,0.39,0.265,0.0,0.124,0.329,133.92,5,['Nate Ruess']
112,Young Thug,It's A Slime (feat. Lil Uzi Vert),3HxYOwZZHZn5mC1drqPQqR,Slime Language,4OHfmMUq6xwCo8zfQuc9Rf,2018-08-17,41,True,0.863,142840,0.464,1,-10.559,1,0.346,0.00449,0.0,0.0938,0.566,75.5,4,"['Young Stoner Life', 'Lil Uzi Vert']"
113,Young Thug,Mine,0VpOzNKpf8CM3haq58tJKF,Lost Files,3tf9jLIuMfETUzcRtigJqm,2015-08-11,27,True,0.837,166478,0.642,5,-6.618,0,0.296,0.373,0.0,0.104,0.752,96.04,4,[]
114,Young Thug,Money On The Dresser,4ds2Ed57KqkU9eg0Subk3c,BUSINESS IS BUSINESS (Metro's Version),0z2a9VgdVmkr0DInVJUgu6,2023-06-26,34,True,0.896,133000,0.648,8,-6.903,1,0.267,0.000107,0.00826,0.105,0.441,159.982,4,[]
115,Young Thug,Lil Baby,7L5kgecwyLEhX27NZlVxiP,So Much Fun (Deluxe),24jAbLMFzCTlIv3kQ94HwK,2019-12-20,39,True,0.848,201893,0.455,1,-9.568,1,0.0746,0.00252,0.0,0.112,0.66,163.004,4,[]
116,Young Thug,Hellcat Kenny (feat. Lil Uzi Vert),3YbJ4wQ8I7rM9FsqkNp7sR,BUSINESS IS BUSINESS (Metro's Version),0z2a9VgdVmkr0DInVJUgu6,2023-06-26,37,True,0.932,154467,0.503,8,-9.351,0,0.294,0.0661,0.0,0.0856,0.686,140.096,4,['Lil Uzi Vert']
117,Young Thug,Audemar (feat. Tracy T),0NoQpbfJ6n7KUY2YlZI1j6,Slime Language,4OHfmMUq6xwCo8zfQuc9Rf,2018-08-17,36,True,0.907,207333,0.499,8,-9.985,1,0.256,0.0296,0.0,0.118,0.559,131.97,4,"['Young Stoner Life', 'Tracy T']"
118,Young Thug,Bad Bad Bad (feat. Lil Baby),1vluh94VKBuOeGyXjeXHp1,So Much Fun,5AivpkHClIpmRxheNz1TzN,2019-08-15,35,False,0.974,148200,0.625,6,-8.981,1,0.169,0.0984,0.0,0.175,0.878,111.963,4,['Lil Baby']
119,Young Thug,Oh Yeah,7FjxdLxJkOV5cHOrttx5Ft,Beautiful Thugger Girls,51KZKzPd3OQT1r46a55VTt,2017-06-16,40,True,0.555,229387,0.418,11,-10.346,0,0.403,0.0905,0.0,0.177,0.248,106.285,4,[]
120,Young Thug,Parade on Cleveland (feat. Drake),0ySvHlwks7CO0HWjB5ZBOo,BUSINESS IS BUSINESS (Metro's Version),0z2a9VgdVmkr0DInVJUgu6,2023-06-26,38,True,0.526,228267,0.283,3,-13.127,0,0.566,0.447,5.12e-06,0.111,0.354,165.991,1,['Drake']
122,Young Thug,"10,000 Slimes",31VfidluZ3h42PP4j71KRj,Young Martha,1uPwwIkzsCOanBsLExFitZ,2017-09-22,22,True,0.489,282476,0.636,3,-6.871,0,0.325,0.551,0.0,0.0987,0.412,145.941,4,"['Carnage', 'Young Stoner Life']"
124,Young Thug,Ridin' (feat. Lil Durk),0sMZD2KXYkkR0xDZiBoI7g,I'm Up,4sAB9WulPpnAcig7alDGTg,2016-02-05,37,True,0.861,248889,0.604,9,-9.071,1,0.206,0.133,0.0,0.142,0.39,107.99,4,['Lil Durk']
127,Young Thug,Homie (feat. Meek Mill),7x9UhVfr6ZLMyDCixHWjeN,Young Martha,1uPwwIkzsCOanBsLExFitZ,2017-09-22,25,True,0.472,218865,0.583,2,-7.537,1,0.261,0.0555,0.0,0.0413,0.443,97.023,3,"['Carnage', 'Young Stoner Life', 'Meek Mill']"
130,Young Thug,Gucci Grocery Bag,1xE36EOBfgpajoGviOzhQi,BUSINESS IS BUSINESS (Metro's Version),0z2a9VgdVmkr0DInVJUgu6,2023-06-26,31,True,0.908,175133,0.487,1,-6.591,1,0.158,0.00377,0.000165,0.0703,0.719,145.056,4,[]
131,Young Thug,Get That Money,79dy9f8smYZ1doFbzel7Bi,Slime Season 4,5Dwws0oO0fQLDsrwZE7rvW,2017-12-04,33,True,0.659,187456,0.45,8,-8.294,0,0.343,0.197,0.0,0.108,0.504,139.885,4,[]
132,Young Thug,Tell Her Nothing,5NIFj42IEueGwtG3AfGbcI,Tell Her Nothing,23GqCmiLqpRumFdxcHJnp6,2014-11-19,35,True,0.849,224078,0.662,4,-6.164,0,0.288,0.121,0.0,0.0658,0.531,124.011,4,[]
135,Young Thug,Magnificent,0dEUayTz9vtOX45ItCv21B,Slime Season 4,5Dwws0oO0fQLDsrwZE7rvW,2017-12-04,27,True,0.787,203083,0.478,10,-10.486,0,0.375,0.032,5.54e-05,0.655,0.333,137.947,4,[]
136,Young Thug,Purpose,44nFWkSk0DiGZU2DdlGksi,Slime Season 4,5Dwws0oO0fQLDsrwZE7rvW,2017-12-04,32,True,0.729,158126,0.468,1,-8.513,0,0.185,0.0391,0.0,0.277,0.366,139.994,4,[]
