artist_name,track_name,track_id,album_name,album_id,release_date,popularity,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,featured_artists,type,duration,year,month,day_of_the_week
Young Thug,Uncle M,12W6EfKhq8rzCUQxgbr6ev,BUSINESS IS BUSINESS,7CLo0dKR7Zk97M2TLO8mb8,2023-06-22,15,False,0.708,0.619,A,-6.751,Major,0.0671,0.0127,0.0,0.208,0.296,142.078,4,[],Studio Album,02:20,2023,June,Thursday
Young Thug,Picacho (feat. Maceo),0oLIGshQFiUzkWkVheQ6Ln,1017 Thug,0ssPpXttlI7w2Z6CXiqWgR,2015-12-11,18,True,0.734,0.733,C,-7.129,Major,0.415,0.0471,0.0,0.186,0.698,136.146,4,['Maceo'],Mixtape,04:13,2015,December,Friday
Young Thug,Keep Going,15DdtDJV1IzHWMzJ6M42D3,I Came from Nothing 2,4k4w4MLXdY084qrbMGy9Sg,2011-12-20,21,True,0.496,0.57,B,-6.601,Minor,0.24,0.105,0.0,0.133,0.495,133.102,4,[],Mixtape,03:49,2011,December,Tuesday
Young Thug,Trigger Finger,3OsT8Bsw4IDtqH2ID5eRlj,1017 Thug,0ssPpXttlI7w2Z6CXiqWgR,2015-12-11,15,True,0.779,0.576,F,-11.296,Minor,0.278,0.0191,0.0,0.394,0.71,136.976,4,[],Mixtape,03:07,2015,December,Friday
Young Thug,Pacifier,718RLkg7DT1sekn1Xwm1WY,Pacifier,2ZsLZHZmUftfqoVzNBK6kj,2015-07-17,25,True,0.766,0.82,D,-5.851,Major,0.124,0.0469,0.0,0.336,0.376,117.012,4,[],Single,03:57,2015,July,Friday
Young Thug,Murder,3W0hhHVDX1mVs6ON9Sjxj6,1017 Thug,0ssPpXttlI7w2Z6CXiqWgR,2015-12-11,17,True,0.645,0.539,A,-11.121,Minor,0.233,0.0035,0.0,0.815,0.375,66.501,4,[],Mixtape,03:07,2015,December,Friday
Young Thug,Scared of You,43X4dZ74fj8qjpX3DsaYf9,1017 Thug,0ssPpXttlI7w2Z6CXiqWgR,2015-12-11,20,True,0.685,0.54,C#/Db,-9.692,Major,0.183,0.00693,0.0,0.808,0.144,141.053,4,[],Mixtape,02:57,2015,December,Friday
Young Thug,Oh U Went (feat. Drake),2DRZ6kcHn0BBJqGdFpGj9V,BUSINESS IS BUSINESS (Metro's Version),1E7ibA3gXudpo1LBfzSRdh,2023-06-25,18,False,0.808,0.78,F,-5.909,Major,0.249,0.0469,0.0,0.102,0.488,136.038,4,['Drake'],Album Deluxe,03:05,2023,June,Sunday
Young Thug,"Yeah, Yeah (feat. OG Boo Dirty & Heavy)",5cMxGBSbQjm2mk0XBbmwR0,1017 Thug,0ssPpXttlI7w2Z6CXiqWgR,2015-12-11,21,True,0.703,0.573,E,-10.413,Minor,0.415,0.0352,0.0,0.33,0.335,69.028,4,"['OG Boo Dirty', 'Heavy']",Mixtape,04:28,2015,December,Friday
Young Thug,Just How It Is,0yAV9MltdAnL8b3WoLNUu7,So Much Fun,5AivpkHClIpmRxheNz1TzN,2019-08-15,15,False,0.652,0.515,G,-10.756,Major,0.399,0.0347,0.0,0.12,0.566,83.056,4,[],Studio Album,03:27,2019,August,Thursday
