,artist_name,track_name,track_id,album_name,album_id,release_date,popularity,explicit,danceability,duration_ms,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,featured_artists
365,Ed Sheeran,Bad Habits,73oPbmMBSEMDAzPfvtJh6V,100 Greatest Party Songs,2NTw0F363GPU537jWfAPnJ,2022-12-16,33,False,0.807,230747,0.893,11,-3.745,0,0.0347,0.0451,2.79e-05,0.366,0.537,126.011,4,[]
366,Ed Sheeran,Thinking Out Loud,5ac6S8qfZKEDLSisiXZJps,kiss me under the light of a thousand stars,5uwmamGSJ3ayFsFflf8Wp5,2024-09-18,34,False,0.781,281560,0.445,2,-6.061,1,0.0296,0.474,0.0,0.184,0.591,78.998,4,[]
367,Ed Sheeran,Grade 8,4LOEmlRnwHK59p4R6xiVSC,my forgotten favourites,4y3pLcRLyhwZmrTtODJzGJ,2024-09-04,33,False,0.74,179880,0.805,0,-9.978,0,0.0363,0.0452,3.99e-05,0.0538,0.778,101.042,4,[]
368,Ed Sheeran,Perfect,39pz52QIEEIrEkVzIkI2rQ,the 100 greatest love songs,0yj8CEr0csSnOmDeBHyxbK,2023-11-24,21,False,0.598,263400,0.448,8,-6.312,1,0.0232,0.162,0.0,0.106,0.168,95.009,3,[]
369,Ed Sheeran,Little Bird,1xCgZ6cWiVaalXiAkdJsdJ,my forgotten favourites,4y3pLcRLyhwZmrTtODJzGJ,2024-09-04,33,False,0.843,224529,0.425,8,-8.676,1,0.0352,0.566,0.0,0.102,0.285,104.019,4,[]
370,Ed Sheeran,The City,4oCmusomhJaDXUF9OttwQ5,5,2hyDesSAYNefikDJXlqhPE,2014-06-20,30,False,0.689,266280,0.369,8,-7.183,1,0.357,0.74,0.0,0.122,0.701,102.565,4,[]
371,Ed Sheeran,Nina,3V4IpWLdFIK3AvZMz9jxKf,x (10th Anniversary Edition),1upLfaShcnjVjey0FdY7aO,2024-06-21,36,False,0.791,225533,0.67,6,-7.189,0,0.147,0.175,0.0,0.33,0.81,92.013,4,[]
372,Ed Sheeran,American Town - Live from Kari’s Living Room,0nWELRrZYYeJaynDOVjggv,Autumn Variations (Fan Living Room Sessions),5bLE2kmkZWlzAYeb6To6LA,2023-10-02,32,False,0.606,195749,0.475,1,-4.255,1,0.045,0.813,0.0,0.102,0.631,106.149,4,[]
373,Ed Sheeran,All of the Stars,6sfjKDUILQRMW5b9Q4Y3Rv,x (10th Anniversary Edition),1upLfaShcnjVjey0FdY7aO,2024-06-21,59,False,0.437,234987,0.562,11,-6.106,1,0.0278,0.0102,0.000269,0.198,0.24,150.066,4,[]
374,Ed Sheeran,2step,0Kyf0mywQUx3aqtYVtiR6U,= (Tour Edition),2CIOGAByaHyjQ1EO55JSzC,2022-05-27,28,False,0.763,153627,0.661,4,-5.592,0,0.056,0.169,0.0,0.117,0.632,95.002,4,[]
376,Ed Sheeran,Runaway,3HAaXpYeqt1YGCyRw2paBI,x (10th Anniversary Edition),1upLfaShcnjVjey0FdY7aO,2024-06-21,35,False,0.767,205133,0.449,8,-7.159,0,0.0365,0.024,0.000283,0.151,0.908,95.03,4,[]
377,Ed Sheeran,Spring,4JV6AhDromrfPIVXuzEijV,Autumn Variations (Fan Living Room Sessions),5bLE2kmkZWlzAYeb6To6LA,2023-10-02,34,False,0.644,178616,0.317,5,-11.565,1,0.0317,0.923,0.00159,0.104,0.667,96.081,4,[]
378,Ed Sheeran,Kiss Me,5tiwn7qQr0uqbRoiqdXTDH,kiss me under the light of a thousand stars,5uwmamGSJ3ayFsFflf8Wp5,2024-09-18,33,False,0.593,280853,0.227,2,-16.67,1,0.0493,0.638,0.00508,0.0248,0.181,74.98,4,[]
379,Ed Sheeran,Touch and Go,1VpkoHMyXL6mV4nw9EZLdr,my forgotten favourites,4y3pLcRLyhwZmrTtODJzGJ,2024-09-04,32,False,0.812,240987,0.542,7,-5.403,0,0.0444,0.294,7.03e-05,0.141,0.733,110.268,4,[]
380,Ed Sheeran,One Night,0OYfT6BJa4lW3LW6ATOfJa,my forgotten favourites,4y3pLcRLyhwZmrTtODJzGJ,2024-09-04,32,False,0.781,206440,0.835,6,-5.497,0,0.0656,0.382,0.0,0.289,0.643,94.989,4,[]
381,Ed Sheeran,Overpass Graffiti,0FRBToHz6nkJTk2MqVAnX9,= (Tour Edition),2CIOGAByaHyjQ1EO55JSzC,2022-05-27,29,False,0.52,236907,0.849,9,-3.794,0,0.186,0.00253,0.0,0.119,0.774,175.908,4,[]
